#,时间,模型,消息数,工具数,thinking预算,输入think块,cache断点,输入tok(全价),cache读(10%),cache写(125%),输出tok
1,2026-05-30T23:46:04,probe,1,0,,0,0,,,,
1,2026-05-30T23:59:04,claude-opus-4-8,2,0,,0,3,106,111335,2612,7
2,2026-05-30T23:59:09,claude-opus-4-8,2,27,,0,3,4296,0,29598,13
3,2026-05-30T23:59:11,claude-opus-4-8,171,28,,48,3,390,0,393338,1279
4,2026-05-30T23:59:34,claude-opus-4-8,2,0,,0,3,106,113947,984,7
6,2026-05-31T00:00:15,claude-opus-4-8,1,0,,0,0,665,0,0,23
5,2026-05-30T23:59:37,claude-opus-4-8,173,25,,49,3,2,27127,367325,2828
8,2026-05-31T00:00:21,claude-opus-4-8,2,0,,0,3,106,114931,422,7
7,2026-05-31T00:00:15,claude-opus-4-8,5,27,,0,3,39,29598,4377,3888
10,2026-05-31T00:00:41,claude-opus-4-8,111,25,,25,3,2,119073,2389,6779
13,2026-05-31T00:01:59,claude-opus-4-8,1,0,,0,0,,,,
14,2026-05-31T00:01:59,claude-opus-4-8,1,0,,0,0,,,,
9,2026-05-31T00:00:23,claude-opus-4-8,175,25,,50,3,2,394452,3266,7927
15,2026-05-31T00:02:00,claude-opus-4-8,2,0,,0,3,106,115353,6101,7
16,2026-05-31T00:02:03,claude-opus-4-8,178,25,,51,3,131,397718,7979,131
18,2026-05-31T00:02:07,claude-opus-4-8,2,0,,0,3,106,121454,41,7
12,2026-05-31T00:01:56,claude-opus-4-8,2,20,,0,3,4260,0,13813,849
11,2026-05-31T00:01:31,claude-opus-4-8,8,27,,1,3,66,33975,3946,2381
17,2026-05-31T00:02:04,claude-opus-4-8,2,20,,0,3,4260,13082,682,740
20,2026-05-31T00:02:14,claude-opus-4-8,2,20,,0,3,4260,13082,698,771
22,2026-05-31T00:03:22,claude-opus-4-8,4,20,,0,3,2,13813,6220,502
21,2026-05-31T00:03:22,claude-opus-4-8,4,20,,0,3,2,13780,6036,445
23,2026-05-31T00:03:22,claude-opus-4-8,4,20,,0,3,2,13764,5986,702
28,2026-05-31T00:03:34,claude-opus-4-8,1,1,,0,0,12319,0,0,1321
24,2026-05-31T00:03:30,claude-opus-4-8,1,1,,0,0,19786,0,0,1555
25,2026-05-31T00:03:32,claude-opus-4-8,1,1,,0,0,16108,0,0,1619
30,2026-05-31T00:03:34,claude-opus-4-8,1,1,,0,0,28817,0,0,1539
26,2026-05-31T00:03:33,claude-opus-4-8,1,1,,0,0,12591,0,0,1637
27,2026-05-31T00:03:33,claude-opus-4-8,1,1,,0,0,13247,0,0,1937
31,2026-05-31T00:03:34,claude-opus-4-8,1,1,,0,0,17271,0,0,2187
35,2026-05-31T00:03:35,claude-opus-4-8,1,1,,0,0,20677,0,0,2741
